Country,League,Team,Year,HomeRatio,AwayGoalsDiff,FIFA_Rank
Angola,Angola-Girabola,Recreativo da Ca?la,2014,9,0,0.06403940886699508
Angola,Angola-Girabola,Sagrada Esperan?a,2010,4,0,0.06403940886699508
Angola,Angola-Girabola,? de Maio,2013,0,0,0.06403940886699508
Angola,Angola-Girabola,Sporting de Cabinda,2012,0,0,0.06403940886699508
Angola,Angola-Girabola,Kabuscorp Palanca,2009,5,0,0.06403940886699508
Angola,Angola-Girabola,Sagrada Esperan?a,2011,7,0,0.06403940886699508
Angola,Angola-Girabola,Benfica Luanda,2015,11,1,0.06403940886699508
Angola,Angola-Girabola,FC Bravos do Maquis,2012,9,0,0.06403940886699508
Angola,Angola-Girabola,ASA Luanda,2011,0,0,0.06403940886699508
Angola,Angola-Girabola,Petro Atletico,2015,3,0,0.06403940886699508
Angola,Angola-Girabola,Sporting de Cabinda,2015,1,0,0.06403940886699508
Angola,Angola-Girabola,FC Bravos do Maquis,2013,16,0,0.06403940886699508
Angola,Angola-Girabola,Petro Atletico,2013,17,0,0.06403940886699508
Angola,Angola-Girabola,Interclube,2011,4,1,0.06403940886699508
Angola,Angola-Girabola,Petro Atletico,2011,13,0,0.06403940886699508
Angola,Angola-Girabola,Acad?mica do Soyo,2012,0,0,0.06403940886699508
Angola,Angola-Girabola,Progresso da Lunda Sul,2015,5,0,0.06403940886699508
Angola,Angola-Girabola,FC Bravos do Maquis,2011,6,0,0.06403940886699508
Angola,Angola-Girabola,Progresso Sambizanga,2015,1,0,0.06403940886699508
Angola,Angola-Girabola,Cabinda,2011,0,0,0.06403940886699508
Angola,Angola-Girabola,Sagrada Esperan?a,2014,1,0,0.06403940886699508
Angola,Angola-Girabola,? de Maio,2014,0,0,0.06403940886699508
Angola,Angola-Girabola,? de Agosto,2010,15,4,0.06403940886699508
Angola,Angola-Girabola,Progresso Sambizanga,2014,2,0,0.06403940886699508
Angola,Angola-Girabola,Acad?mica do Soyo,2010,7,0,0.06403940886699508
Angola,Angola-Girabola,Benfica Luanda,2010,1,0,0.06403940886699508
Angola,Angola-Girabola,Santos de Angola,2011,2,0,0.06403940886699508
Angola,Angola-Girabola,Acad?mica Lobito,2011,0,0,0.06403940886699508
Angola,Angola-Girabola,? de Agosto,2014,11,1,0.06403940886699508
Angola,Angola-Girabola,Interclube,2009,6,1,0.06403940886699508
Angola,Angola-Girabola,Recreativo da Ca?la,2010,14,1,0.06403940886699508
Angola,Angola-Girabola,Cabinda,2010,1,0,0.06403940886699508
Angola,Angola-Girabola,Santos de Angola,2010,0,0,0.06403940886699508
Angola,Angola-Girabola,? de Agosto,2011,6,2,0.06403940886699508
Angola,Angola-Girabola,Sport Lubango e Benfica,2014,0,0,0.06403940886699508
Angola,Angola-Girabola,ASA Luanda,2012,4,0,0.06403940886699508
Angola,Angola-Girabola,? de Agosto,2009,10,7,0.06403940886699508
Angola,Angola-Girabola,ASA Luanda,2010,9,0,0.06403940886699508
Angola,Angola-Girabola,Recreativo da Ca?la,2013,4,0,0.06403940886699508
Angola,Angola-Girabola,Benfica Luanda,2009,5,5,0.06403940886699508
Angola,Angola-Girabola,Kabuscorp Palanca,2014,10,7,0.06403940886699508
Angola,Angola-Girabola,Acad?mica Lobito,2016,0,0,0.06403940886699508
Angola,Angola-Girabola,Recreativo da Ca?la,2016,0,0,0.06403940886699508
Angola,Angola-Girabola,Interclube,2010,18,5,0.06403940886699508
Angola,Angola-Girabola,FC Bravos do Maquis,2010,7,0,0.06403940886699508
Angola,Angola-Girabola,Sporting de Cabinda,2014,1,0,0.06403940886699508
Angola,Angola-Girabola,Progresso Sambizanga,2011,2,0,0.06403940886699508
Angola,Angola-Girabola,Progresso Sambizanga,2012,6,0,0.06403940886699508
Angola,Angola-Girabola,Kabuscorp Palanca,2012,9,3,0.06403940886699508
Angola,Angola-Girabola,Benfica Luanda,2013,0,0,0.06403940886699508
Angola,Angola-Girabola,Petro Atletico,2014,12,0,0.06403940886699508
Angola,Angola-Girabola,Recreativo do Libolo,2015,16,8,0.06403940886699508
Angola,Angola-Girabola,Recreativo do Libolo,2012,30,10,0.06403940886699508
Angola,Angola-Girabola,Interclube,2013,7,0,0.06403940886699508
Angola,Angola-Girabola,Benfica Luanda,2014,8,5,0.06403940886699508
Angola,Angola-Girabola,Kabuscorp Palanca,2010,7,0,0.06403940886699508
Angola,Angola-Girabola,Interclube,2015,9,1,0.06403940886699508
Angola,Angola-Girabola,Kabuscorp Palanca,2013,19,16,0.06403940886699508
Angola,Angola-Girabola,Recreativo do Libolo,2010,5,4,0.06403940886699508
Angola,Angola-Girabola,Recreativo do Libolo,2011,14,4,0.06403940886699508
Angola,Angola-Girabola,Petro Atletico,2009,14,9,0.06403940886699508
Angola,Angola-Girabola,? de Agosto,2015,19,9,0.06403940886699508
Angola,Angola-Girabola,? de Agosto,2012,11,9,0.06403940886699508
Angola,Angola-Girabola,FC Bravos do Maquis,2014,8,1,0.06403940886699508
Angola,Angola-Girabola,Interclube,2014,0,0,0.06403940886699508
Angola,Angola-Girabola,Santos de Angola,2012,0,0,0.06403940886699508
Angola,Angola-Girabola,Recreativo do Libolo,2014,11,14,0.06403940886699508
Angola,Angola-Girabola,Recreativo do Libolo,2009,9,10,0.06403940886699508
Angola,Angola-Girabola,Acad?mica do Soyo,2009,0,0,0.06403940886699508
Angola,Angola-Girabola,Recreativo do Libolo,2013,2,0,0.06403940886699508
Angola,Angola-Girabola,Progresso Sambizanga,2013,3,0,0.06403940886699508
Angola,Angola-Girabola,ASA Luanda,2015,3,0,0.06403940886699508
Angola,Angola-Girabola,? de Agosto,2016,5,4,0.06403940886699508
Angola,Angola-Girabola,Petro Atletico,2016,2,1,0.06403940886699508
Angola,Angola-Girabola,Benfica Luanda,2016,0,0,0.06403940886699508
Angola,Angola-Girabola,Interclube,2012,4,3,0.06403940886699508
Angola,Angola-Girabola,? de Maio,2009,0,0,0.06403940886699508
Angola,Angola-Girabola,Petro Atletico,2012,1,10,0.06403940886699508
Angola,Angola-Girabola,Atl?tico do Namibe,2012,0,0,0.06403940886699508
Angola,Angola-Girabola,Benfica Luanda,2012,0,0,0.06403940886699508
Angola,Angola-Girabola,Kabuscorp Palanca,2015,2,7,0.06403940886699508
Angola,Angola-Girabola,ASA Luanda,2009,6,0,0.06403940886699508
Angola,Angola-Girabola,Kabuscorp Palanca,2011,6,4,0.06403940886699508
Angola,Angola-Girabola,ASA Luanda,2013,0,0,0.06403940886699508
Angola,Angola-Girabola,Petro Atletico,2010,3,12,0.06403940886699508
Angola,Angola-Girabola,Desportivo Hu?la,2016,1,2,0.06403940886699508
Angola,Angola-Girabola,Interclube,2016,0,1,0.06403940886699508
Angola,Angola-Girabola,Benfica Luanda,2011,0,0,0.06403940886699508
Angola,Angola-Girabola,Desportivo Hu?la,2013,0,9,0.06403940886699508
Angola,Angola-Girabola,Recreativo do Libolo,2016,0,3,0.06403940886699508
Angola,Angola-Girabola,Progresso Sambizanga,2016,0,0,0.06403940886699508
Argentina,Argentina-Primera,Gimnasia y Esgrima La Plata,2009,0,0,0.06403940886699508
Argentina,Argentina-Primera,Hurac?n,2009,0,0,0.06403940886699508
Argentina,Argentina-Primera,All Boys,2010,9,0,0.06403940886699508
Argentina,Argentina-Primera,Hurac?n,2011,0,0,0.06403940886699508
Argentina,Argentina-Primera,Godoy Cruz Antonio Tomba,2012,4,0,0.06403940886699508
Argentina,Argentina-Primera,Quilmes,2012,2,0,0.06403940886699508
Argentina,Argentina-Primera,Olimpo,2012,0,0,0.06403940886699508
Argentina,Argentina-Primera,Boca Juniors,2013,1,0,0.06403940886699508
Argentina,Argentina-Primera,V?lez Sarsfield,2010,17,0,0.06403940886699508
Argentina,Argentina-Primera,Arsenal de Sarand?,2013,8,0,0.06403940886699508
Argentina,Argentina-Primera,Atl?tico Tucum?n,2009,5,0,0.06403940886699508
Argentina,Argentina-Primera,Boca Juniors,2010,2,0,0.06403940886699508
Argentina,Argentina-Primera,San Mart?n San Juan,2011,5,0,0.06403940886699508
Argentina,Argentina-Primera,Olimpo,2010,3,0,0.06403940886699508
Argentina,Argentina-Primera,Atl?tico Rafaela,2013,1,0,0.06403940886699508
Argentina,Argentina-Primera,All Boys,2013,2,0,0.06403940886699508
Argentina,Argentina-Primera,Atl?tico Rafaela,2012,2,0,0.06403940886699508
Argentina,Argentina-Primera,Col?n Santa Fe,2013,1,0,0.06403940886699508
Argentina,Argentina-Primera,Racing Club,2009,2,0,0.06403940886699508
Argentina,Argentina-Primera,Col?n Santa Fe,2010,0,0,0.06403940886699508
Argentina,Argentina-Primera,Belgrano,2013,1,0,0.06403940886699508
Argentina,Argentina-Primera,Argentinos Juniors,2013,0,0,0.06403940886699508
Argentina,Argentina-Primera,V?lez Sarsfield,2013,3,0,0.06403940886699508
Argentina,Argentina-Primera,San Mart?n San Juan,2013,11,0,0.06403940886699508
Argentina,Argentina-Primera,Lan?s,2012,10,0,0.06403940886699508
Argentina,Argentina-Primera,Col?n Santa Fe,2012,3,0,0.06403940886699508
Argentina,Argentina-Primera,San Lorenzo,2012,6,0,0.06403940886699508
Argentina,Argentina-Primera,Quilmes,2010,0,0,0.06403940886699508
Argentina,Argentina-Primera,Estudiantes,2013,0,0,0.06403940886699508
Argentina,Argentina-Primera,River Plate,2010,1,0,0.06403940886699508
Argentina,Argentina-Primera,Racing Club,2012,13,0,0.06403940886699508
Argentina,Argentina-Primera,Boca Juniors,2009,9,0,0.06403940886699508
Argentina,Argentina-Primera,Arsenal de Sarand?,2009,1,0,0.06403940886699508
Argentina,Argentina-Primera,Newell's Old Boys,2010,3,0,0.06403940886699508
Argentina,Argentina-Primera,Estudiantes,2009,10,0,0.06403940886699508
Argentina,Argentina-Primera,Rosario Central,2010,0,0,0.06403940886699508
Argentina,Argentina-Primera,Gimnasia y Esgrima La Plata,2011,0,0,0.06403940886699508
Argentina,Argentina-Primera,Newell's Old Boys,2012,8,0,0.06403940886699508
Argentina,Argentina-Primera,Col?n Santa Fe,2009,14,0,0.06403940886699508
Argentina,Argentina-Primera,River Plate,2013,11,0,0.06403940886699508
Argentina,Argentina-Primera,San Lorenzo,2010,6,0,0.06403940886699508
Argentina,Argentina-Primera,Tigre,2011,3,0,0.06403940886699508
Argentina,Argentina-Primera,Estudiantes,2012,4,0,0.06403940886699508
Argentina,Argentina-Primera,Lan?s,2013,11,1,0.06403940886699508
Argentina,Argentina-Primera,Estudiantes,2010,18,5,0.06403940886699508
Argentina,Argentina-Primera,Belgrano,2012,5,0,0.06403940886699508
Argentina,Argentina-Primera,Boca Juniors,2011,13,3,0.06403940886699508
Argentina,Argentina-Primera,Boca Juniors,2012,11,5,0.06403940886699508
Argentina,Argentina-Primera,V?lez Sarsfield,2009,9,0,0.06403940886699508
Argentina,Argentina-Primera,River Plate,2009,2,0,0.06403940886699508
Argentina,Argentina-Primera,Chacarita Juniors,2009,0,0,0.06403940886699508
Argentina,Argentina-Primera,Arsenal de Sarand?,2010,3,0,0.06403940886699508
Argentina,Argentina-Primera,Lan?s,2010,0,0,0.06403940886699508
Argentina,Argentina-Primera,Arsenal de Sarand?,2011,0,0,0.06403940886699508
Argentina,Argentina-Primera,Banfield,2009,11,3,0.06403940886699508
Argentina,Argentina-Primera,Argentinos Juniors,2009,8,1,0.06403940886699508
Argentina,Argentina-Primera,Rosario Central,2009,7,0,0.06403940886699508
Argentina,Argentina-Primera,Gimnasia y Esgrima La Plata,2010,0,0,0.06403940886699508
Argentina,Argentina-Primera,Independiente,2011,4,0,0.06403940886699508
Argentina,Argentina-Primera,San Mart?n San Juan,2012,2,0,0.06403940886699508
Argentina,Argentina-Primera,Independiente,2013,2,0,0.06403940886699508
Argentina,Argentina-Primera,Newell's Old Boys,2013,12,6,0.06403940886699508
Argentina,Argentina-Primera,Racing Club,2011,6,0,0.06403940886699508
Argentina,Argentina-Primera,Arsenal de Sarand?,2012,0,5,0.06403940886699508
Argentina,Argentina-Primera,Godoy Cruz Antonio Tomba,2013,6,1,0.06403940886699508
Argentina,Argentina-Primera,San Lorenzo,2009,3,5,0.06403940886699508
Argentina,Argentina-Primera,Racing Club,2010,7,0,0.06403940886699508
Argentina,Argentina-Primera,Tigre,2009,0,0,0.06403940886699508
Argentina,Argentina-Primera,Atl?tico Rafaela,2011,1,0,0.06403940886699508
Argentina,Argentina-Primera,Independiente,2012,0,0,0.06403940886699508
Argentina,Argentina-Primera,Racing Club,2013,7,0,0.06403940886699508
Argentina,Argentina-Primera,Tigre,2010,7,4,0.06403940886699508
Argentina,Argentina-Primera,V?lez Sarsfield,2011,3,6,0.06403940886699508
Argentina,Argentina-Primera,Estudiantes,2011,4,5,0.06403940886699508
Argentina,Argentina-Primera,San Lorenzo,2011,0,3,0.06403940886699508
Argentina,Argentina-Primera,V?lez Sarsfield,2012,5,13,0.06403940886699508
Argentina,Argentina-Primera,Independiente,2009,5,5,0.06403940886699508
Argentina,Argentina-Primera,Lan?s,2009,3,6,0.06403940886699508
Argentina,Argentina-Primera,Godoy Cruz Antonio Tomba,2010,0,0,0.06403940886699508
Argentina,Argentina-Primera,Banfield,2010,3,0,0.06403940886699508
Argentina,Argentina-Primera,Chacarita Juniors,2010,0,0,0.06403940886699508
Argentina,Argentina-Primera,River Plate,2011,0,1,0.06403940886699508
Argentina,Argentina-Primera,All Boys,2012,0,0,0.06403940886699508
Argentina,Argentina-Primera,Godoy Cruz Antonio Tomba,2011,8,3,0.06403940886699508
Argentina,Argentina-Primera,River Plate,2012,6,6,0.06403940886699508
Argentina,Argentina-Primera,Newell's Old Boys,2009,3,8,0.06403940886699508
Argentina,Argentina-Primera,Col?n Santa Fe,2011,0,0,0.06403940886699508
Argentina,Argentina-Primera,Hurac?n,2010,1,0,0.06403940886699508
Argentina,Argentina-Primera,Independiente,2010,0,0,0.06403940886699508
Argentina,Argentina-Primera,Quilmes,2011,0,0,0.06403940886699508
Argentina,Argentina-Primera,Argentinos Juniors,2011,0,6,0.06403940886699508
Argentina,Argentina-Primera,Lan?s,2011,0,2,0.06403940886699508
Argentina,Argentina-Primera,Argentinos Juniors,2010,3,6,0.06403940886699508
Argentina,Argentina-Primera,Quilmes,2013,2,4,0.06403940886699508
Argentina,Argentina-Primera,Godoy Cruz Antonio Tomba,2009,0,0,0.06403940886699508
Argentina,Argentina-Primera,Banfield,2011,0,0,0.06403940886699508
Argentina,Argentina-Primera,Uni?n Santa Fe,2013,0,0,0.06403940886699508
Argentina,Argentina-Primera,Tigre,2013,0,0,0.06403940886699508
Argentina,Argentina-Primera,San Lorenzo,2013,2,8,0.06403940886699508
Argentina,Argentina-Primera,Argentinos Juniors,2012,0,1,0.06403940886699508
Argentina,Argentina-Primera,Uni?n Santa Fe,2011,0,0,0.06403940886699508
Argentina,Argentina-Primera,Belgrano,2011,0,7,0.06403940886699508
Argentina,Argentina-Primera,All Boys,2011,0,0,0.06403940886699508
Argentina,Argentina-Primera,Tigre,2012,0,2,0.06403940886699508
Argentina,Argentina-Primera,Olimpo,2011,0,6,0.06403940886699508
Argentina,Argentina-Primera,Atl?tico Tucum?n,2010,0,0,0.06403940886699508
Argentina,Argentina-Primera,Newell's Old Boys,2011,0,0,0.06403940886699508
Argentina,Argentina-Primera,Uni?n Santa Fe,2012,0,0,0.06403940886699508
Argentina,Argentina-Primera,Banfield,2012,0,0,0.06403940886699508
Australia,Australia-A-League,Melbourne City FC,2013,6,0,0.06403940886699508
Australia,Australia-A-League,Perth Glory,2014,6,0,0.06403940886699508
Australia,Australia-A-League,Wellington Phoenix,2011,14,0,0.06403940886699508
Australia,Australia-A-League,Melbourne Victory,2012,6,0,0.06403940886699508
Australia,Australia-A-League,Melbourne City FC,2014,1,0,0.06403940886699508
Australia,Australia-A-League,Perth Glory,2011,0,0,0.06403940886699508
Australia,Australia-A-League,Sydney FC,2013,8,0,0.06403940886699508
Australia,Australia-A-League,Gold Coast United,2012,2,0,0.06403940886699508
Australia,Australia-A-League,Brisbane Roar FC,2016,16,0,0.06403940886699508
Australia,Australia-A-League,North Queensland Fury,2010,0,0,0.06403940886699508
Australia,Australia-A-League,North Queensland Fury,2011,0,0,0.06403940886699508
Australia,Australia-A-League,Perth Glory,2010,15,0,0.06403940886699508
Australia,Australia-A-League,Sydney FC,2014,5,0,0.06403940886699508
Australia,Australia-A-League,Melbourne Victory,2016,10,0,0.06403940886699508
Australia,Australia-A-League,Sydney FC,2010,12,0,0.06403940886699508
Australia,Australia-A-League,Wellington Phoenix,2010,18,0,0.06403940886699508
Australia,Australia-A-League,Newcastle Jets,2010,0,0,0.06403940886699508
Australia,Australia-A-League,Newcastle Jets,2012,7,0,0.06403940886699508
Australia,Australia-A-League,Brisbane Roar FC,2013,11,0,0.06403940886699508
Australia,Australia-A-League,Adelaide United,2014,14,0,0.06403940886699508
Australia,Australia-A-League,Central Coast Mariners,2013,24,3,0.06403940886699508
Australia,Australia-A-League,Wellington Phoenix,2013,0,0,0.06403940886699508
